,GeoType,GEOID,GeoName,TotalPop,Opinion,discuss,CO2limits,trustclimsciSST,regulate,supportRPS,fundrenewables,mediaweekly,happening,human,consensus,worried,personal,harmUS,devharm,futuregen,harmplants,timing
0,State,1,Alabama,3217902,Support,27.468,63.122,66.416,69.962,60.343,78.627,21.784,63.45,47.603,40.418,50.584,35.646,52.079,56.025,61.881,61.369,46.644
1,State,1,Alabama,3217902,Oppose,38.892,35.589,30.717,28.737,39.147,20.316,77.496,15.467,36.405,31.368,49.383,50.312,35.565,28.731,23.292,24.528,52.978
2,State,2,Alaska,460319,Support,36.632,68.231,65.712,73.098,62.506,82.673,23.209,69.588,48.562,46.767,55.695,36.78,55.117,61.542,66.82,69.005,48.295
3,State,2,Alaska,460319,Oppose,28.074,31.123,29.466,25.761,35.846,15.825,75.512,15.05,35.949,33.881,43.786,54.919,37.327,28.235,22.328,23.129,51.022
4,State,4,Arizona,4284776,Support,36.724,66.001,70.357,72.84,64.86,81.18,24.657,68.827,50.661,48.257,56.186,40.135,57.669,61.654,67.368,66.647,50.683
5,State,4,Arizona,4284776,Oppose,28.882,32.625,28.19,26.644,34.088,17.963,74.54,14.632,34.329,30.307,43.812,50.364,34.217,27.729,22.051,23.685,49.168
6,State,5,Arkansas,1949963,Support,28.832,63.744,65.852,69.968,60.616,78,21.598,64.12,47.318,40.381,51.36,35.748,52.12,57.397,63.825,63.853,46.276
7,State,5,Arkansas,1949963,Oppose,37.666,35.166,31.749,29.069,38.12,21.634,77.676,16.517,36.616,33.241,48.683,51.466,36.455,29.64,24.254,24.197,53.327
8,State,6,California,24865866,Support,39.309,73.74,72.822,77.026,69.265,82.618,25.28,75.241,59.035,55.707,65.256,47.059,64.548,69.022,75.097,74.674,56.197
9,State,6,California,24865866,Oppose,25.92,24.959,23.12,21.442,29.019,15.847,74.168,9.17,28.065,23.776,34.579,43.575,27.195,20.391,14.919,16.127,43.306
10,State,8,Colorado,3453403,Support,39.213,69.434,72.894,74.374,66.665,83.322,27.841,71.004,53.143,51.65,58.291,39.322,58.422,62.861,71.161,70.317,50.856
11,State,8,Colorado,3453403,Oppose,25.975,29.242,25.514,24.847,32.468,15.793,71.396,13.057,32.524,28.96,41.752,52.967,34.678,27.259,20.122,21.692,48.896
12,State,9,Connecticut,2455577,Support,35.887,73.056,74.649,77.212,69.292,84.096,24.704,71.904,56.503,52.624,61.396,40.81,60.369,65.957,73.925,72.421,52.414
13,State,9,Connecticut,2455577,Oppose,28.363,25.342,23.664,21.502,28.924,15.062,75.042,10.934,29.628,26.447,38.598,50.103,31.446,24.037,17.407,18.342,47.226
14,State,10,Delaware,620886,Support,32.584,69.576,74.959,76.366,67.69,83.099,25.145,70.691,55.08,52.035,57.848,41.023,59.089,64.481,71.575,70.009,52.36
15,State,10,Delaware,620886,Oppose,31.866,28.711,23.374,22.706,31.678,16.314,74.417,10.914,30.93,24.908,42.377,48.185,30.75,24.196,17.62,19.469,47.352
16,State,11,District of Columbia,442721,Support,43.448,84.652,84.786,86.167,78.667,90.27,27.827,84.364,66.792,71.061,74.292,51.474,72.026,80.246,85.33,85.25,64.72
17,State,11,District of Columbia,442721,Oppose,22.182,14.11,12.884,12.367,20.512,8.803,71.479,3.51,23.933,13.907,25.744,39.509,19.496,12.237,7.468,8.409,34.287
18,State,12,Florida,13561596,Support,31.819,68.481,72.59,74.7,66.351,81.621,23.524,70.047,52.608,49.143,56.594,41.069,58.355,62.776,69.107,68.775,52.377
19,State,12,Florida,13561596,Oppose,33.088,30.106,26.073,24.722,32.578,17.808,75.986,12.545,32.792,27.282,43.459,50.23,32.518,26.161,19.78,21.503,47.48
20,State,13,Georgia,6410416,Support,30.552,64.886,71.5,72.842,63.697,81.599,21.234,67.744,50.565,44.752,54.666,39.505,56.094,57.121,64.344,63.159,51.477
21,State,13,Georgia,6410416,Oppose,35.833,34.128,26.786,26.023,35.129,17.674,77.766,12.464,34.469,27.646,45.328,47.914,32.647,26.366,20.125,22.452,48.202
22,State,15,Hawaii,950863,Support,42.847,80.222,75.766,81.075,72.336,85.937,22.892,78.49,61.622,60.196,69.168,47.317,67.782,74.509,80.011,79.81,57.874
23,State,15,Hawaii,950863,Oppose,21.721,18.107,19.197,17.404,25.977,12.263,76.341,7.71,25.377,22.409,30.668,45.515,25.729,17.751,12.526,13.565,41.463
24,State,16,Idaho,1015487,Support,33.868,64.861,65.968,70.049,61.589,79.83,21.718,64.889,46.844,41.257,52.254,35.374,52.284,56.059,61.935,63.48,46.742
25,State,16,Idaho,1015487,Oppose,34.39,33.887,33.087,28.683,36.156,18.426,77.903,18.495,36.524,37.32,47.451,56.101,39.138,32.047,26.622,26.228,53.108
26,State,17,Illinois,8560555,Support,33.781,74.267,72.453,77.768,68.126,85.456,24.317,72.649,55.534,51.04,59.809,39.689,58.516,64.691,72.624,73.134,50.822
27,State,17,Illinois,8560555,Oppose,28.607,23.969,23.948,20.531,30.452,13.121,75.292,10.338,31.228,26.509,39.998,49.614,31.703,23.152,16.31,17.138,48.549
28,State,18,Indiana,4287819,Support,28.918,62.248,67.185,70.552,61.507,81.25,24.607,64.138,48.545,43.181,49.34,33.877,51.34,55.603,63.608,63.175,44.771
29,State,18,Indiana,4287819,Oppose,33.002,36.259,29.755,28.191,37.728,18.153,74.66,16.343,36.126,31.903,50.732,54.562,38.529,31.137,23.68,25.867,54.943
30,State,19,Iowa,2038942,Support,31.987,66.472,69.055,74.03,65.029,83.906,29.354,66.872,51.706,46.533,54.68,33.48,52.395,60.238,70.376,67.505,44.004
31,State,19,Iowa,2038942,Oppose,29.149,32.771,27.205,24.219,33.065,14.834,70.612,14.315,33.892,31.115,45.368,56.982,38.784,29.243,20.672,23.392,55.417
32,State,20,Kansas,1861894,Support,30.398,62.802,66.437,70.08,62.748,80.706,25.298,65.328,48.464,42.746,52.132,34.632,51.945,57.274,64.856,63.182,45.382
33,State,20,Kansas,1861894,Oppose,33.028,36.341,31.019,28.742,34.677,18.014,74.343,17.187,35.647,34.551,47.777,55.624,39.297,31.409,24.709,26.321,54.406
34,State,21,Kentucky,2939709,Support,27.966,58.245,65.535,69.808,59.353,79.128,23.721,62.392,45.918,40.43,48.179,33.618,50.327,55.155,62.43,62.017,44.062
35,State,21,Kentucky,2939709,Oppose,35.71,40.627,31.944,29.589,40.62,20.369,75.055,18.333,38.134,34.091,51.815,55.846,39.91,33.084,26.249,28.388,55.591
36,State,22,Louisiana,3010828,Support,29.059,64.391,67.459,70.664,61.801,78.716,21.214,65.452,48.529,41.623,53.423,37.164,53.706,56.895,64.157,61.934,48.395
37,State,22,Louisiana,3010828,Oppose,38.3,34.54,29.509,28.111,37.031,20.77,78.259,13.61,35.867,29.689,46.633,49.684,33.838,27.122,21.259,23.419,51.034
38,State,23,Maine,947959,Support,34.736,66.052,73.637,75.774,67.259,83.407,27.188,69.178,52.548,51.418,55.915,36.586,57.421,62.862,71.029,69.155,49.498
39,State,23,Maine,947959,Oppose,26.985,32.534,25.174,24.014,31.885,16.755,72.35,13.789,32.779,28.543,44.285,56.82,36.103,28.786,21.124,23.534,50.219
40,State,24,Maryland,3973193,Support,35.264,75.136,76.687,78.321,69.875,85.811,23.655,75.139,57.944,55.268,63.227,43.11,61.852,67.741,74.499,73.999,55.154
41,State,24,Maryland,3973193,Oppose,30.294,23.336,21.08,19.484,28.589,12.931,75.892,8.32,29.271,23.132,36.712,45.521,27.421,20.161,14.219,15.257,44.246
42,State,25,Massachusetts,4561346,Support,37.964,73.522,76.059,78.481,70.964,85.285,25.928,73.947,55.928,57.217,61.777,41.766,61.901,68.126,75.146,75.166,53.772
43,State,25,Massachusetts,4561346,Oppose,24.982,25.083,22.532,20.797,27.769,14.33,73.387,10.768,30.457,25.923,38.21,50.322,31.335,23.789,17.476,18.229,45.811
44,State,26,Michigan,6619834,Support,30.876,69.942,71.234,75.507,66.376,82.488,23.023,68.353,53.897,46.666,55.587,37.713,56.185,60.189,68.822,67.516,49.29
45,State,26,Michigan,6619834,Oppose,32.354,28.577,26.01,23.193,32.076,16.273,76.305,12.492,31.402,28.196,44.467,51.994,34.059,26.599,19.219,20.824,50.436
46,State,27,Minnesota,3599228,Support,33.59,67.924,71.126,75.036,67.159,83.617,29.813,68.931,52.05,51.12,55.586,35.15,55.308,63.487,72.098,70.922,47.235
47,State,27,Minnesota,3599228,Oppose,27.312,30.818,26.049,24.309,31.258,15.568,69.957,13.949,33.348,29.93,44.527,58.106,37.656,28.551,20.83,22.963,52.392
48,State,28,Mississippi,1929591,Support,27.83,65.301,68.283,71.969,62.449,79.595,20.678,65.657,49.634,42.154,53.549,37.84,54.216,54.788,63.69,62.851,48.975
49,State,28,Mississippi,1929591,Oppose,39.344,33.182,28.425,26.292,36.619,19.006,78.636,12.689,34.874,28.254,46.395,46.627,32.277,26.047,20.073,21.261,50.484
50,State,29,Missouri,4028930,Support,30.31,64.89,68.276,72.192,64.006,81.096,25.558,66.107,49.443,44.615,52.948,35.915,53.509,59.805,67.904,66.698,46.671
51,State,29,Missouri,4028930,Oppose,32.741,33.743,29.092,26.622,33.509,17.828,74.022,15.437,35.103,31.613,47.084,52.585,36.78,29.318,22.836,23.468,52.988
52,State,30,Montana,683960,Support,36.173,64.333,67.566,72.152,62.082,83.595,26.453,66.106,47.858,44.283,52.526,32.298,50.79,58.129,65.957,66.634,43.613
53,State,30,Montana,683960,Oppose,28.775,35.141,29.729,26.521,37.289,15.121,72.732,16.772,36.851,35.108,47.325,58.326,41.021,31.153,23.888,25.135,55.846
54,State,31,Nebraska,1205229,Support,30.387,62.621,65.853,70.389,61.947,81.206,26.333,64.448,47.554,42.351,51.052,33.037,50.817,56.556,64.734,63.136,44.037
55,State,31,Nebraska,1205229,Oppose,32.276,36.414,31.329,28.707,35.721,17.658,73.326,17.808,36.652,35.181,48.865,57.633,40.449,32.145,25.228,27.076,55.68
56,State,32,Nevada,1847920,Support,36.81,69.729,71.676,75.07,66.053,82.445,24.865,70.286,53.868,49.201,59.006,41.12,58.767,63.774,71.216,69.996,50.889
57,State,32,Nevada,1847920,Oppose,29.119,28.79,25.961,23.853,32.778,16.197,74.85,12.193,31.899,27.443,41.038,48.647,31.926,24.911,18.67,20.314,48.753
58,State,33,New Hampshire,919033,Support,34.35,67.991,72.255,74.81,67.044,82.996,26.39,68.292,52.67,49.504,55.842,36.247,55.968,61.715,70.421,68.365,48.148
59,State,33,New Hampshire,919033,Oppose,28.674,30.606,26.44,24.501,31.878,16.664,73.368,14.42,32.263,30.418,44.253,55.881,36.919,29.316,21.672,23.466,51.633
60,State,34,New Jersey,6052621,Support,34.425,78.132,74.227,79.575,69.542,83.672,21.098,75.11,57.442,54.037,64.546,42.882,61.644,68.69,74.861,75.424,53.963
61,State,34,New Jersey,6052621,Oppose,30.258,20.482,22.961,18.701,29.028,14.889,78.269,9.375,29.465,25.835,35.331,46.811,28.804,20.571,15.276,15.315,45.52
62,State,35,New Mexico,1360013,Support,38.173,67.538,72.323,74.421,65.771,82.555,27.643,70.893,55.117,51.913,60.015,42.356,60.074,66.321,72.811,71.415,51.146
63,State,35,New Mexico,1360013,Oppose,26.024,31.205,24.95,24.517,33.655,16.561,71.678,11.781,31.471,25.814,40.16,48.263,31.593,24.295,17.823,20.243,48.592
64,State,36,New York,13329734,Support,36.737,78.707,76.077,80.606,70.678,85.593,20.101,77.018,57.575,56.179,67.241,44.748,64.365,69.039,75.683,76.289,57.39
65,State,36,New York,13329734,Oppose,27.401,20.125,21.174,17.332,27.403,13.123,78.668,8.016,29.989,23.968,32.489,45.886,27.36,19.684,13.796,14.586,41.852
66,State,37,North Carolina,6495047,Support,31.042,69.689,71.648,74.521,65.405,82.197,23.174,68.932,52.18,47.677,55.709,39.052,56.009,60.806,67.494,68.082,50.193
67,State,37,North Carolina,6495047,Oppose,35.232,28.643,26.503,24.182,33.316,16.681,76.802,12.607,32.835,28.438,44.282,48.628,32.497,25.692,19.69,20.249,49.498
68,State,38,North Dakota,458527,Support,30.813,58.067,64.065,69.251,59.209,83.385,29.368,62.19,45.712,40.399,48.429,28.443,46.506,52.855,64.303,62.747,38.934
69,State,38,North Dakota,458527,Oppose,29.371,41.866,31.503,29.459,39.663,15.681,69.703,19.016,38.988,36.576,51.529,62.755,45.315,34.888,25.729,29.272,60.487
70,State,39,Ohio,7781111,Support,29.882,64.263,69.893,73.548,64.39,81.879,25.41,66.772,52.019,46.916,53.144,35.359,54.332,58.628,66.93,65.758,47.557
71,State,39,Ohio,7781111,Oppose,32.959,34.527,27.294,25.286,34.341,17.119,75.018,13.791,33.019,29.409,46.937,54.249,35.709,28.404,20.851,23.246,52.161
72,State,40,Oklahoma,2489023,Support,29.395,61.548,64.635,68.476,59.474,77.823,22.425,63.127,45.989,39.277,49.885,34.798,51.123,55.256,62.187,62.06,44.958
73,State,40,Oklahoma,2489023,Oppose,36.012,37.528,32.993,31.037,39.562,22.058,76.972,18.735,37.502,35.713,50.148,54.674,39.278,32.215,26.552,27.936,54.804
74,State,41,Oregon,2677376,Support,38.065,71.099,70.803,76.5,67.225,82.537,26.559,72.137,53.786,52.933,59.386,39.543,59.234,66.687,71.945,72.36,52.035
75,State,41,Oregon,2677376,Oppose,26.441,27.728,25.691,22.685,31.181,16.294,72.74,12.278,31.826,28.845,40.399,53.102,33.787,25.204,19.194,19.921,47.432
76,State,42,Pennsylvania,8764740,Support,31.186,69.02,71.155,75.526,64.847,81.664,22.296,68.996,52.608,48.585,57.636,37.529,56.154,61.188,69.022,68.424,49.115
77,State,42,Pennsylvania,8764740,Oppose,32.778,30.151,26.17,22.799,34.084,17.458,77.156,12.583,32.991,29.184,42.407,52.873,34.744,26.84,19.488,20.881,50.436
78,State,44,Rhode Island,716161,Support,35.85,70.426,75.699,77.121,69.688,83.578,27.388,71.347,56.514,54.77,60.136,40.787,60.839,66.007,74.323,71.723,52.463
79,State,44,Rhode Island,716161,Oppose,26.647,27.557,22.854,22.228,29.303,16.281,72.523,11.163,29.665,24.829,40.128,50.555,31.787,25.036,17.757,19.844,47.265
80,State,45,South Carolina,3163095,Support,29.515,66.876,69.88,72.077,64.225,81.51,21.09,66.856,50.341,43.664,53.957,37.331,53.966,58.93,65.298,64.601,48.829
81,State,45,South Carolina,3163095,Oppose,37.945,31.746,27.933,26.209,34.769,17.199,78.243,13.164,34.234,29.394,45.978,50.682,33.544,26.493,20.479,21.773,50.776
82,State,46,South Dakota,544604,Support,30.621,66.427,66.014,71.442,62.922,82.238,24.398,65.227,48.62,42.08,53.06,33.389,51.127,55.966,65.409,65.027,44.223
83,State,46,South Dakota,544604,Oppose,32.781,32.666,30.809,26.645,33.918,16.02,75.28,16.758,35.583,35.484,46.699,56.343,39.752,31.002,23.902,24.537,55.343
84,State,47,Tennessee,4336243,Support,28.054,61.871,67.297,70.307,61.503,78.267,21.435,64.144,48.149,42.091,51.17,36.346,53.436,56.056,63.153,62.65,47.85
85,State,47,Tennessee,4336243,Oppose,37.878,36.909,30.761,28.704,37.573,20.82,77.639,16.169,35.719,32.125,48.784,51.14,35.42,29.599,24.194,24.323,51.93
86,State,48,Texas,16426730,Support,31.743,66.557,68.301,71.2,63.727,79.033,23.288,68.907,51.626,45.338,57.163,41.836,57.509,62.678,68.376,67.017,50.506
87,State,48,Texas,16426730,Oppose,33.79,32.629,29.195,27.99,35.062,20.543,76.605,13.483,33.673,29.493,42.835,46.952,32.377,25.724,20.472,21.767,49.216
88,State,49,Utah,1642728,Support,34.017,58.354,63.846,66.613,57.375,79.349,22.939,63.071,42.528,39.762,47.887,33.648,49.768,53.815,58.537,60.76,44.709
89,State,49,Utah,1642728,Oppose,32.424,41.078,35.326,33.187,41.206,19.846,75.859,22.088,40.663,40.101,51.849,58.065,43.08,35.701,30.815,31.51,55.227
90,State,50,Vermont,434995,Support,37.714,72.135,76.516,78.976,70.46,85.864,29.226,72.692,56.765,56.593,60.665,38.488,60.165,67.27,76.131,74.099,51.209
91,State,50,Vermont,434995,Oppose,23.88,26.406,21.802,20.305,28.676,13.918,70.378,10.88,29.922,25.49,39.515,54.428,33.68,25.341,17.277,19.463,48.304
92,State,51,Virginia,5501125,Support,33.076,71.459,73.238,75.727,66.971,83.679,23.469,71.148,54.106,49.989,58.619,40.524,57.935,63.984,70.658,71.211,51.724
93,State,51,Virginia,5501125,Oppose,33.012,27.511,24.958,22.62,31.469,15.017,76.458,11.429,31.475,27.815,41.262,48.497,31.727,24.151,18.234,18.697,47.911
94,State,53,Washington,4645804,Support,38.45,72.793,71.443,76.612,67.581,82.602,27.783,72.632,54.714,54.115,59.993,40.185,60.07,66.731,73.525,73.146,52.421
95,State,53,Washington,4645804,Oppose,26.022,26.006,24.971,22.558,31.054,16.258,72.058,11.836,31.013,28.004,39.855,52.651,33.013,25.107,18.6,19.957,47.092
96,State,54,West Virginia,1298614,Support,27.642,55.749,64.664,68.69,56.49,81.173,24.489,60.476,44.072,37.932,45.324,30.052,46.092,51.188,59.517,59.526,40.292
97,State,54,West Virginia,1298614,Oppose,35.963,43.864,32.816,30.562,43.718,18.444,74.389,20.037,40.286,36.073,54.679,58.555,43.205,35.038,27.586,30.696,59.252
98,State,55,Wisconsin,3850995,Support,31.322,68.986,70.192,75.074,65.289,83.29,25.428,68.125,52.5,48.528,54.059,35.587,54.644,62.344,69.495,68.281,46.966
99,State,55,Wisconsin,3850995,Oppose,30.456,29.605,26.756,23.916,33.745,15.68,74.156,13.695,32.863,29.904,45.959,55.175,35.921,27.611,20.402,21.739,52.69
100,State,56,Wyoming,381098,Support,33.641,55.252,61.881,66.421,55.274,82.156,25.973,60.921,41.971,37.532,46.189,28.734,45.177,50.906,58.593,59.857,38.979
101,State,56,Wyoming,381098,Oppose,30.816,45.07,34.966,32.339,44.566,16.868,72.704,21.956,42.323,40.424,53.575,62.058,46.543,36.607,29.32,31.874,60.506
